Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index,EXR_Log_Returns,CPI Inflation_Lag1,CPI Inflation_Lag2, Lending Interest Rate_Lag1, Lending Interest Rate_Lag2,EXR_Log_Returns_Lag1,EXR_Log_Returns_Lag2
ALGERIA,01/04/2000,0.924353895,76.0025,10.0,25.799,9.0814292,29.89217391,29.36238095,5.9956293,-0.1369312891837113,28.82628019,-4.238255533333334,1.412430486990154,-0.0057999132609019,0.03383327131650038,1.660757604,2.426636569,10.0,10.0,0.014233691382189662,0.02384077141737251
ALGERIA,01/05/2000,-0.485799701,75.2502,10.0,28.83347826,5.0961241,25.799,29.89217391,9.0814292,0.1176199953486569,28.35118495333333,2.1317322000000005,2.226074161417853,0.0716191501173004,-0.009947673049390815,0.924353895,1.660757604,10.0,10.0,0.03383327131650038,0.014233691382189662
ALGERIA,01/06/2000,-1.184655886,73.9423,10.0,31.85909091,3.8662729,28.83347826,25.799,5.0961241,0.1049340153385989,28.174884056666667,6.7243942,2.1245771127154645,0.0869537017710232,-0.017533502105660403,-0.485799701,0.924353895,10.0,10.0,-0.009947673049390815,0.03383327131650038
ALGERIA,01/07/2000,-0.613732259,75.5222,10.0,29.98380952,5.5522845,31.85909091,28.83347826,3.8662729,-0.0588617357380835,28.830523056666667,6.014608733333334,3.030046535828487,0.0607053649972997,0.02114159344176514,-1.184655886,-0.485799701,10.0,10.0,-0.017533502105660403,-0.009947673049390815
ALGERIA,01/08/2000,0.0,77.1946,10.0,31.21869565,7.0091904,29.98380952,31.85909091,5.5522845,0.0411850978834527,30.22545956333333,4.838227166666667,1.5272128321037168,0.0322704264436289,0.021902853628846586,-0.613732259,-1.184655886,10.0,10.0,0.02114159344176514,-0.017533502105660403
ALGERIA,01/09/2000,-0.973053892,77.9353,10.0,33.86,11.014364,31.21869565,29.98380952,7.0091904,0.0846064928404528,31.020532026666668,5.475915933333333,0.9532164964631727,-0.0363999852670483,0.009549488897539149,0.0,-0.613732259,10.0,10.0,0.021902853628846586,0.02114159344176514
ALGERIA,01/10/2000,-0.395629239,80.3716,10.0,33.075,12.28592,33.86,31.21869565,11.014364,-0.0231836975782633,31.68750172333333,7.858612966666667,1.9801635059020528,-0.0588913537740815,0.030781884657057113,-0.973053892,0.0,10.0,10.0,0.009549488897539149,0.021902853628846586
ALGERIA,01/11/2000,0.280583614,79.1216,10.0,34.555,11.586466,33.075,33.86,12.28592,0.0447467876039304,32.71789855,10.103158133333336,1.3563787271725714,-0.0447395952082815,-0.015674970395408216,-0.395629239,-0.973053892,10.0,10.0,0.030781884657057113,0.009549488897539149
ALGERIA,01/12/2000,0.129008478,75.3428,10.0,28.38809524,4.7371125,34.555,33.075,11.586466,-0.1784663510345826,33.830000000000005,11.628916666666669,0.7404559406203352,0.0795707602945038,-0.048937543130935346,0.280583614,-0.395629239,10.0,10.0,-0.015674970395408216,0.030781884657057113
ALGERIA,01/01/2001,-1.132482473,75.4064,9.5,29.48217391,1.6245394,28.38809524,34.555,4.7371125,0.0385400521151697,32.00603174666667,9.5364995,3.219425169918315,0.1360261355415577,0.0008437856223908469,0.129008478,0.280583614,10.0,10.0,-0.048937543130935346,-0.015674970395408216
ALGERIA,01/02/2001,-0.238751148,75.8578,9.5,29.5835,-4.1514756,29.48217391,28.38809524,1.6245394,0.003436859517528,30.80842305,5.982705966666668,3.290422642418566,0.244700736060712,0.005968383000933386,-1.132482473,0.129008478,9.5,10.0,0.0008437856223908469,-0.048937543130935346
ALGERIA,01/03/2001,0.825991189,78.1552,9.5,27.24136364,-2.4977829,29.5835,29.48217391,-4.1514756,-0.0791703605050112,29.151256383333333,0.7367254333333338,0.6628558984795839,0.2283702869117873,0.029836058312207037,-0.238751148,-1.132482473,9.5,9.5,0.005968383000933386,0.0008437856223908469
ALGERIA,01/04/2001,2.242990654,77.5592,9.5,27.45380952,-6.7855505,27.24136364,29.5835,-2.4977829,0.0077986507139478,28.769012516666667,-1.674906366666666,1.323952439445809,0.3131359570995874,-0.007655077635394747,0.825991189,-0.238751148,9.5,9.5,0.029836058312207037,0.005968383000933386
